claim_id,date_start,date_end,topic,historical_baseline,asai_delta,status,notes
Q036-01,1937-07-28,1937-07-28,Nanyuan strategic outcome,Japanese victory and Chinese withdrawal,"No strategic change; same-day Japanese victory",CLOSED-SAME,"Exact capture hour remains OPEN-detail because Japanese/Chinese chronologies differ"
Q036-02,1937-07-28,1937-07-28,Artillery workflow,Planned multi-axis attack with artillery support,"Firing-data/registration ~10-20% faster in best-prepared batteries; local effective suppression ~5-15 min earlier",CLOSED-MINOR,"Local tactical acceleration ~10-30 min possible; not whole-battle acceleration"
Q036-03,1937-07-28,1937-07-28,Aviation serviceability,Temporary Japanese air unit supports battle,"Few percentage points higher serviceability; ~1-3 aircraft-equivalent additional usable sorties/fewer aborts per major package",CLOSED-MINOR,"No GT/jet aircraft"
Q036-04,1937-07-28,1937-07-28,Heavy vehicle readiness,Historical reinforcement motor transport,"Asai-exposed heavy subset +3-7 pp readiness; whole relevant motor pool +1-3 pp",CLOSED-MINOR,"New Manchurian releases cannot arrive for dawn battle"
Q036-05,1937-07-28,1937-07-28,Chinese communications,Historically disrupted by battle and line loss,"No material Asai-side repair of Chinese command network",CLOSED-SAME,"Japanese wired power/maintenance only marginally better"
Q036-06,1937-07-28,1937-07-28,Tong Linge death,Dies during Nanyuan withdrawal/battle,"Event remains overwhelmingly likely under unchanged geometry",CLOSED-SAME,"Exact time/location OPEN-detail"
Q036-07,1937-07-28,1937-07-28,Zhao Dengyu death,Dies during Nanyuan withdrawal/battle,"Event remains overwhelmingly likely under unchanged geometry",CLOSED-SAME,"Exact time/location OPEN-detail"
Q036-08,1937-07-28,1937-07-28,Song Zheyuan withdrawal decision,Decision after Nanyuan disaster and command losses,"Same afternoon/evening decision",CLOSED-SAME,"Departure working band ~22:00-23:00; exact minute OPEN-detail"
Q036-09,1937-07-28,1937-07-29,Chinese main withdrawal,Evening withdrawal; broad evacuation by 29 July,"Same operational withdrawal window",CLOSED-SAME,"Asai differences insufficient to change date"
Q036-10,1937-07-28,1937-07-28,Casualties,Historical totals disputed,"Japanese direction slightly lower; Chinese same order/slightly higher",OPEN-DETAIL,"Do not canonize absolute totals; sensitivity JP -2 to -5%, CN 0 to +3% only"
