category	late-1937 inventory delta	readiness / performance delta	main Asai causal route	guard
rifles/common small arms	+1-3%	+1-3% usable	tools/gauges/QC	not operation-limiting in most gates
LMG/HMG	+1-3% overall	+2-4% usable	QC/parts/process	ballistics largely same
mortars/grenade dischargers	+2-5%	+2-4%	machining/QC	small effect
Type94 37mm AT	line efficiency +5-10% possible; theater +2-5%	special AP separate performance delta	tools/gauges/materials	tens, not hundreds extra
75/105mm artillery	+0-3%	high-tempo ready +2-5 pp	maintenance/towing/production process	gun count close to history
15cm artillery	single digits/low-teens max national late-1937 difference	ready more important	process/inspection	do not inflate
tank/tankette	+0-3%	operational ready +2-5 pp	recovery/workshop/QC	existing type performance mostly same
heavy trucks/tractors	selected series +3-7%	turbo variant sustained output +15-25%; high-value ready +4-7 pp	exhaust turbo/integration/recovery	not whole-army motorization
recovery/workshop/special vehicles	small-base +10-25% plausible	large operational leverage	Asai package/power/tools	absolute count small
radio/command equipment	+3-8%	usable +5-10 pp class where applied	EMI/power/sealing/interface	not universal modern radio net
conventional aircraft	+2-4% national completions late-1937 working	serviceability +3-5 pp	machine tools/metrology/maintenance	headline performance same
ammunition	+2-5% production/QC	selected forward stock +3-7%	tools/QC/transport	do not multiply armywide
