event_id	time	event	historical_baseline	branch_delta	status	asai_relevance	next_gate
E-19370714-01	1937-07-14	Japanese central/field restraint policy transmitted; avoid provocative contact and keep arriving reinforcements away from Peiping/Tientsin where feasible	restraint reaffirmed despite reinforcement flow	same	CLOSED-SAME	higher readiness does not override explicit restraint policy	1937-07-17 evening to 1937-07-19/20
E-19370714-02	1937-07-14	~3,500 Japanese troops and 12 guns depart Tientsin toward Peiping area by highway	large mixed road movement after rail arrival	same strategic movement; motorized subset has slightly better ready fraction	CLOSED-SAME/READINESS-DELTA	Asai turbo heavy trucks/tractors help only motorized/support echelon; movement also includes foot/horse elements	1937-07-17 evening to 1937-07-19/20
E-ASAI-19370714-01	1937-07-14	first large road-movement window where Asai heavy-vehicle delta can physically matter	historical mixed convoy/march	reduced overheating/straggling and better towing margin; no hours-scale whole-force acceleration	CLOSED-DIRECTION	direct Asai logistics effect	1937-07-17 evening to 1937-07-19/20
E-19370714-03	1937-07-14 evening	37th Division-side commanders receive offensive-preparation instruction amid dissatisfaction with Japanese reinforcement/withdrawal	Chinese local offensive preparations intensify	same	CLOSED-SAME	Japanese vehicle quality does not remove visible reinforcement/political pressure	1937-07-17 evening to 1937-07-19/20
E-19370714-04	1937-07-14 around	Japanese mechanized troops moving Tungchow-Fengtai route receive fire near Yongdingmen/Nanyuan; 4 casualties reported	local contact during mechanized movement	same event; vehicle identities open	CLOSED-SAME	incident caused by tense checkpoint/contact, not vehicle reliability	1937-07-17 evening to 1937-07-19/20
E-19370715-01	1937-07-15	Japanese forces withdraw from Marco Polo front leaving only a small number of sentries	de-escalatory local withdrawal	same	CLOSED-SAME	explicit command/policy not mobility-limited	1937-07-17 evening to 1937-07-19/20
E-19370715-02	1937-07-15	Japanese cavalry detouring south of Nanyuan is fired on near Tuanhe; casualties occur	Tuanhe cavalry incident	same event; exact casualty detail secondary	CLOSED-EVENT	horse cavalry means Asai vehicle/GT effects essentially nil	1937-07-17 evening to 1937-07-19/20
E-19370716-01	1937-07-16 01:00	artillery exchange near Dahongmen outside Yongdingmen	continued local clash	same	CLOSED-SAME	no Asai causal path identified	1937-07-17 evening to 1937-07-19/20
E-19370716-02	1937-07-16 morning	Japanese unit en route Tientsin-Tungchow fired on near Anping by Chinese security force	road-contact incident	same	CLOSED-SAME	minor vehicle-speed differences insufficient to erase checkpoint/security-force contact	1937-07-17 evening to 1937-07-19/20
E-19370717-01	1937-07-17	Japanese leadership sets July 19 compliance deadline and conditional home-division mobilization if demands are unmet	deadline/conditional escalation policy	same	CLOSED-SAME	Asai readiness raises execution margin, not decision inputs	1937-07-17 evening to 1937-07-19/20
E-19370717-02	1937-07-17	Chiang Kai-shek delivers Lushan statement defining minimum peace conditions and willingness to resist if pushed to final point	major Chinese political statement	same in substance	CLOSED-SAME-IN-SUBSTANCE	Asai readiness delta not large/visible enough to change Chinese strategic-political conditions	1937-07-17 evening to 1937-07-19/20
