system	1940-opening-status	normal-release-or-fielding-gate	V16 boundary
E5 Twin	130 military extant center	already service	30-42 bridge accepted center36; no normal new starts after H1
Ki-42	69 physical extant	already service	6 tail Jan-Feb; no new long-run order; later shifts toward high-cover/training/conversion
E6 Twin	0 ordinary service allocation	1940-04-01 normal-unit eligibility	Q1 service proving only; Q2 normal operational units
E6 Single	0 ordinary service allocation	1940-05-01 normal-unit eligibility	prepared-field high-speed fighter/interceptor
A6M	future entrant	1940-07-01 China operational trial; 1940-09-13 default major air-combat anchor	no automatic earlier mass combat
Ki-46	prototype maturation	1940-05-01 service evaluation; 1940-07-01 selected operational recon	conventional broad recon layer; E5 remains premium high-threat layer
R2As / Navy E6 recon	future Navy E6 recon	1940-06-01 first normal Navy allocation	selected service in Navy Twin share
G4As / Navy E6 attack	service-trial branch	1940-07-01 allocation; 1940-09-01 combat eligibility if torpedo/training gates pass	not a G3M/G4M substitute
47 mm towed AT	no mass fielding	1940-11-01 named Central-China trial combat eligibility	24-36 cumulative year-end; Manchuria priority
47 mm new-turret Chi-Ha	prototype/evaluation	no normal 1940 China combat	8-12 cumulative evaluation/pilot vehicles class
Chi-He	development	none in 1940	no combat-ready ordinary OOB vehicle
75 mm Chi-Ha SPG	prototype	none in 1940	few test vehicles only
Ki-43	configuration/service trial	H2 evaluation only	no broad early-1940 combat deployment
Ki-44	prototype	no routine 1940 combat	H2 first-flight/maturation
Ho-103 family	bench/flight tests	no broad 1940 operational fielding	1941 adoption/series gate
Helicopter H1	2 development aircraft class	no combat OOB	Army/Navy evaluation only
Helicopter H2	rig/ground program	first free flight 1941Q1 under V13	no 1940 combat contribution
