axis	code	meaning	gate_or_use	does_not_imply	primary_authority
CHEAT_DISTANCE	CD0	Asai personal explicit intervention	strong search-order/known-failure advantage for recorded problem	measured coefficients; endurance; yield; automatic specialist insight	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md
CHEAT_DISTANCE	CD1	Asai core organization	institutional standards/tests/QC/failure taxonomy	all staff have future memories	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md
CHEAT_DISTANCE	CD2	supported customer/secure room	transferred machines/forms/training/maintenance/methods	Asai latest hidden internal method or personal answer	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md
CHEAT_DISTANCE	CD3	autonomous institution	customer/service experts independently use and improve absorbed tools	remote Asai optimization	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md
CHEAT_DISTANCE	CD4	field/operational user	operates issued hardware/doctrine/tables	new design-room solution	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md
COMPUTATION_MATURITY	U1	test/data reduction dominant	customer uses computation mainly to reduce measurements	autonomous design search	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
COMPUTATION_MATURITY	U2	secure local proprietary-data processing	customer data remain inside customer room	mature internal design methodology	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
COMPUTATION_MATURITY	U3	customer calculation forms enter design decisions	local experts can use own forms/comparisons	Asai personal answer	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
COMPUTATION_MATURITY	U4	coarse search -> priority physical test -> recalculation -> independent check	computation/test loop is organizational standard	physical tests disappear or Asai hidden methods transfer	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	H	historical/local fixed baseline	fix subtype/date/mission weight/engine/prop/fuel/armament/constraints/performance altitude	worldline production identity	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	C	computation/test-analysis delta	search; flutter/vibration; cooling/prop matching; data reduction; redesign arithmetic	blanket speed/weight bonus	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	M	materials/manufacturing/QC delta	apply only certified/producible date-valid delta	material already included in H; future research adoption	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	E	engine/propulsion installation delta	mount/cowl/intake/exhaust/cooling/oil/accessories/CG/install losses	upstream engine development credit repeated	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	P	propeller delta	actual baseline prop -> computation/material/qualification state	roll mature historical prop back to primitive state	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	I	integrated physical aircraft	coupled mass/CG/power/drag/prop/speed/range/control/carrier solve	sum of maximum independent bonuses	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_REBASE	A	adopted/reinvested configuration	military/manufacturer chooses where margin is spent	all technically possible equipment installed	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_COMPARATIVE	N	niche regeneration	compare contemporary A states and identify gaps	maturity stage of one aircraft	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
AIRCRAFT_COMPARATIVE	O	original/new program regeneration	new requirement/design from N gap	automatic preservation of old original design	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
ENGINE_REBASE	EH	historical engine baseline	design/prototype/rating/endurance/failure/production/customer baseline	worldline adoptable engine	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
ENGINE_REBASE	EC	engine computation/data	thermal/flow/torsion/supercharger/reduction/failure classification	materials/QC automatically	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
ENGINE_REBASE	EMQ	engine materials/manufacturing/quality	materials/heat treatment/tolerance/gauges/balance/statistical QC	computation purchase automatically transfers MQ	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
