topic_family	question_type	primary_authority	companion_ledger	mandatory_parents	physical_checkpoint	development_horizon	status	supersession_note	open_items_pointer
METHOD	capability / feasibility	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md		TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	method	all	CURRENT-HIGH	historical date is not a capability ceiling; capability is not adoption	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
CHEAT_DISTANCE	Asai personal/core/customer/military transfer distance	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	71-CURRENT-TECHNICAL-CONTROL-V9/05A-CHEAT-DISTANCE-APPLICATION-LEDGER-V9.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	method / organization dependent	all	CURRENT-HIGH	CD0-CD4 limits unpaid foreknowledge, not ownership of legitimately transferred machines/methods; no scalar decay	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
CHEAT_RULES	global cheat/worldline rule inventory; transformation stages; anti-stage-skipping	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	71-CURRENT-TECHNICAL-CONTROL-V9/08A-CHEAT-RULE-INDEX-V9.tsv;71-CURRENT-TECHNICAL-CONTROL-V9/08B-TECHNICAL-STAGE-TAXONOMY-V9.tsv	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md;TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	method / subject-local	all	CURRENT-HIGH	consolidates existing rule vocabulary; does not supersede later local numerical/type state	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
COMPUTATION_CORE	machine / center capability	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-machines-centers.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/43-CONTROLS-DATA-ORGANIZATION-1939-04-20-CANON-V8.md	1939-04-20 organization; 1938-40 technology front	1923-45 capability ladder	CURRENT-RETAINED	capability envelope only; not customer installed count or modern stored-program computer	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
COMPUTATION_BUSINESS	commercial diffusion / customer computation rooms	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-origin-business.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/43-CONTROLS-DATA-ORGANIZATION-1939-04-20-CANON-V8.md	1939-04-20	1923-39	CURRENT-RETAINED	customer absorption is staged; purchase does not transfer Asai internal latest methods instantly	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
COMPUTATION_DIFFUSION	engineering redesign / test-analysis effect	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-repropagation-engine-aviation-1923-45.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md;71-CURRENT-TECHNICAL-CONTROL-V9/03-COMPUTATION-CRYPTO-TECHNICAL-CLOSURE-V9.md	method	1923-45	CURRENT-METHOD	later local engine/airframe/vehicle/naval canon outranks numerical examples; no generic performance scalar	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
CRYPTO_MEMORY	ferrite / cipher-machine / magnetic-memory technical branch	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md	71-CURRENT-TECHNICAL-CONTROL-V9/06A-CRYPTO-SIGINT-INSTITUTIONAL-LEDGER-V9.tsv	71-CURRENT-TECHNICAL-CONTROL-V9/03-COMPUTATION-CRYPTO-TECHNICAL-CLOSURE-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md;71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	1939 capability state	1930-45	CURRENT-RETAINED	1939 institutional mechanized cryptologic baseline is closed; named target breaks/exploitation are event-network gated	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
CONTROLS_DATA	governor / controls / data organization	50-CURRENT-1939-1941-AIRPOWER-AUDIT/43-CONTROLS-DATA-ORGANIZATION-1939-04-20-CANON-V8.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md	1939-04-20	1939H2 org names are future	CURRENT	function exists before later formal organization	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
PISTON_ENGINE	Homare / Ha-43 development state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/14-PISTON-ENGINE-PREBRANCH-ROLLUP-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/12-HOMARE-QUARTERLY-STATE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/11-HOMARE-QUARTERLY-DEVELOPMENT-QUALIFICATION-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/13-HA43-PREBRANCH-DEVELOPMENT-AUDIT-V8.md	local quarterly states	through 1943Q1 branch-neutral technical snapshot	CURRENT	07 older Homare narrative is not sufficient for quarterly timing	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
PROP_COOLING	propeller / cooling / high-power integration	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/14-PISTON-ENGINE-PREBRANCH-ROLLUP-V8.md	branch-neutral technical	pre-1943	CURRENT	installation gates remain separate from engine rating	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
