program	state_date_or_window	requirement_status	engine	EA_state	propeller	PA_state	cooling	CI_state	branch_sensitivity	safe_conclusion
J2M1	1941Q4	14-Shi Sep1939 fixed	Kasei-class	program-specific qualified-development	initial J2M prop installation	development/qualified	fan/extension-shaft radial installation	CI-D->CI-Q	LOW	V8 first-flight center remains around Dec1941 conditional on extension-shaft/cooling closure
J2M2-class	1942Q3	derivative of fixed J2M program	higher-power Kasei 23-class	qualified-development	~3.3m four-blade hydraulic CS	PA-Q	revised fan/cowl/oil installation	CI-D->CI-Q	LOW-MEDIUM	flight-test entry in 1942Q3 is a reasonable V8 central technical window; exact date/order remains working
B7A prototype	1942Q2	1941 Navy attack-aircraft requirement historically established before branch	Homare 11-class	EA-D	~3.45m four-blade	PA-Q or late PA-D explicit envelope	prototype cowl/oil system	CI-D	LOW	first prototype/flight remains around Apr-May1942; no need for radical acceleration
B7A qualification	1942H2-1943Q1	program continues unless procurement cancels	Homare 11/12	EA-Q progressing to EA-S	~3.45m family	PA-Q progressing PA-S	representative production installation	CI-Q progressing CI-S	MEDIUM	less engine-caused interruption; exact production release/quantity open
N1K1-J first prototype	1942Q4	private/provisional land-fighter path rooted in 1941-42 prebranch work	Homare 11/12	EA-D/Q transition	~3.3m four-blade	PA-Q	fighter installation	CI-D	LOW-MEDIUM	first-flight window robustly 1942Q4; center Oct-Nov; exact date open
N1K1-J evaluation	1943Q1	continuation depends on Navy evaluation	Homare 11/early20-series good engines	EA-Q	~3.3m four-blade	PA-Q	fighter installation	CI-Q emerging	MEDIUM	engine noise reduced; long gear/mid-wing defects visible earlier
N1K2-equivalent redesign	1942Q4-1943Q1	conditional on continuation after N1K1-J proof	Homare envelope	n/a at design start	inherits ~3.3m class	PA-Q knowledge	low-wing/short-gear new installation	CI-D planned	MEDIUM	formal redesign can be active by 1943Q1; first flight remains post-branch working 1943Q3-Q4
Reppu predesign	1941	future Zero-successor need foreseeable; formal later requirement NOT assumed	Homare + future Ha-43 envelopes	paper/prestudy	~3.5-3.6m envelope	rig/prestudy	mock-up/cowl/oil studies	pre-CI-D	LOW	persistent predesign is canon; not an authorized service aircraft
Reppu-Homare conditional	1942H2-1943Q1	ONLY IF equivalent carrier-fighter requirement is issued	Homare 20/21-class	EA-Q -> EA-S transition	~3.6m low-rpm four-blade	PA-D/PA-Q	separate Homare cowl/oil installation	CI-D	HIGH	by 1943Q1 detailed design/prototype build can be advanced; flight date not canon
Reppu-Ha43 conditional	1942H2-1943Q1	ONLY IF equivalent requirement and parallel-engine work are authorized	Ha-43 base	EA-D selected engines	~3.6m four-blade	PA-D/selected PA-Q	separate Ha43 cowl/oil installation	CI-D	HIGH	static integration/prototype preparation plausible; EA-Q and first flight not canon
Ki84-equivalent conditional	1942-1943Q1	Army requirement is combat/replay dependent	Homare-class	EA-D/Q	~3.3m four-blade	PA-Q	program-specific	CI-D	HIGH	if equivalent 1942 requirement occurs, propulsion technology is not the primary blocker; requirement itself is not canon
other Homare receivers	1942-1943Q1	program-specific requirement dependent	Homare 10/20 family	EA-D/Q by date	3.3-3.6m by installation	PA-D/Q	program-specific	CI-D/Q	HIGH	use closed technology states but replay requirement and priority
